Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Available,Backorder,Unit Price,Extended Price USD
1,5,399-C0805C104J1RACTUCT-ND,C0805C104J1RACTU,CAP CER 0.1UF 100V X7R 0805,ncs53,5,0,0.41,2.05
2,1,490-10918-1-ND,GRJ21BC72A105KE11L,CAP CER 1UF 100V X7S 0805,ncs53,1,0,0.31,0.31
3,2,478-KGM21BCG2A120JTCT-ND,KGM21BCG2A120JT,CAP CER 12PF 100V C0G/NP0 0805,ncs53,2,0,0.14,0.28
4,2,445-CGA4J1X7R2A225K125ACCT-ND,CGA4J1X7R2A225K125AC,"AUTOMOTIVE GRADE,MLCC,0805,100V,",ncs53,2,0,0.66,1.32
5,1,SAM12319-ND,TSW-105-22-G-S-RA,CONN HEADER R/A 5POS 2.54MM,ncs53,1,0,0.9,0.9
6,2,612-TSW-104-22-G-S-RA-ND,TSW-104-22-G-S-RA,CONN HEADER R/A 4POS 2.54MM,ncs53,2,0,0.72,1.44
7,1,2223-MSD-4-ACT-ND,MSD-4-A,CONN MICROSD CARD R/A SMD,ncs53,1,0,0.36,0.36
8,2,445-MLF2012E100JT000CT-ND,MLF2012E100JT000,FIXED IND 10UH 15MA 800 MOHM SMD,ncs53,2,0,0.14,0.28
9,6,RMCF0805JT10K0CT-ND,RMCF0805JT10K0,RES 10K OHM 5% 1/8W 0805,ncs53,6,0,0.1,0.6
10,3,311-100KARCT-ND,RC0805JR-07100KL,RES 100K OHM 5% 1/8W 0805,ncs53,3,0,0.1,0.3
11,2,RMCF0805JT2K20CT-ND,RMCF0805JT2K20,RES 2.2K OHM 5% 1/8W 0805,ncs53,2,0,0.1,0.2
12,1,696-HVS0805-1MJ8CT-ND,HVS0805-1MJ8,RES SMD 1M OHM 5% 1/8W 0805,ncs53,1,0,2.25,2.25
13,14,YAG3707CT-ND,AC0805FR-07200RL,RES SMD 200 OHM 1% 1/8W 0805,ncs53,14,0,0.01,0.14
14,1,541-52.3KCCT-ND,CRCW080552K3FKEA,RES SMD 52.3K OHM 1% 1/4W 0805,ncs53,1,0,0.1,0.1
15,3,311-51KARCT-ND,RC0805JR-0751KL,RES 51K OHM 5% 1/8W 0805,ncs53,3,0,0.1,0.3
16,1,5407-ESP32-S3-WROOM-1-N8R8CT-ND,ESP32-S3-WROOM-1-N8R8,RF TXRX MODULE BT PCB TRACE SMD,ncs53,1,0,6.13,6.13
17,1,828-1091-1-ND,BMI270,IMU ACCEL/GYRO I2C/SPI 14LGA,ncs53,1,0,3.73,3.73
18,1,1276-6455-1-ND,CL21A106KOQNNNG,CAP CER 10UF 16V X5R 0805,ncs53,1,0,0.08,0.08
19,2,1276-6526-1-ND,CL21A226KOQNNNE,CAP CER 22UF 16V X5R 0805,ncs53,2,0,0.33,0.66
20,2,MAX98357AETE+TCT-ND,MAX98357AETE+T,IC AMP CLASS D MONO 3.2W 16TQFN,ncs53,2,0,3.19,6.38
21,4,296-39451-1-ND,TPS62175DQCR,IC REG BUCK BST ADJ 500MA 10WSON,ncs53,4,0,1.52,6.08
22,1,535-9542-1-ND,ABS07-32.768KHZ-T,CRYSTAL 32.7680KHZ 12.5PF SMD,ncs53,1,0,0.61,0.61
23,2,490-1007-1-ND,BLM15AG102SN1D,FERRITE BEAD 1 KOHM 0402 1LN,ncs53,2,0,0.1,0.2
24,1,SAM8980-ND,TSM-102-01-T-SV,CONN HEADER SMD 2POS 2.54MM,ncs53,1,0,0.26,0.26
25,2,296-13223-1-ND,SN74LS47NSR,IC DRVR BCD-7 SEGMENT 16SO,ncs53,2,0,2.12,4.24
26,2,296-39451-1-ND,TPS62175DQCR,IC REG BUCK BST ADJ 500MA 10WSON,ncs53,2,0,1.52,3.04
27,2,754-1458-5-ND,SA56-11EWA,"DISPLAY 7SEG 0.56"" SGL RED 10DIP",ncs53,2,0,1.89,3.78
28,2,SAM10325-ND,TSW-102-08-F-S-RA,CONN HEADER R/A 2POS 2.54MM,ncs53,2,0,0.24,0.48
